,Title,Authors,Year,Venue,Publisher,Citation_Count,Avg_Citations_Per_Year
918,"New era of artificial intelligence and machine learning-based detection, diagnosis, and therapeutics in Parkinson's disease","R Gupta, S Kumari, A Senapati, RK Ambasta…",2023,Ageing research …,Elsevier,52,26.0
919,"Deep learning and machine learning in psychiatry: a survey of current progress in depression detection, diagnosis and treatment","M Squires, X Tao, S Elangovan, R Gururajan, X Zhou…",2023,Brain Informatics,Springer,38,19.0
920,Enhanced membership inference attacks against machine learning models,"J Ye, A Maddi, SK Murakonda…",2022,Proceedings of the …,dl.acm.org,216,72.0
921,Estimating the density of deep eutectic solvents applying supervised machine learning techniques,"M Abdollahzadeh, M Khosravi…",2022,Scientific Reports,nature.com,55,18.33
922,Accuracy assessment of machine learning algorithms used to predict breast cancer,"M Ebrahim, AAH Sedky, S Mesbah",2023,Data,mdpi.com,33,16.5
923,Machine learning algorithms in the environmental corrosion evaluation of reinforced concrete structures-A review,"H Jia, G Qiao, P Han",2022,Cement and Concrete Composites,Elsevier,41,13.67
924,Interpretable Ensemble-Machine-Learning models for predicting creep behavior of concrete,"M Liang, Z Chang, Z Wan, Y Gan, E Schlangen…",2022,Cement and Concrete …,Elsevier,176,58.67
925,Reducing literature screening workload with machine learning,"T Burgard, A Bittermann",2023,Zeitschrift für Psychologie,econtent.hogrefe.com,26,13.0
926,Testing and analysis of predictive capabilities of machine learning algorithms,"G Khekare, LK Bramhane, C Dhule, R Agrawal…",2022,… and machine learning …,Springer,19,6.33
927,A systematic review of localization in WSN: Machine learning and optimization‐based approaches,"P Yadav, SC Sharma",2023,International journal of communication …,Wiley Online Library,28,14.0
928,Artificial intelligence (AI) and machine learning (ML) based decision support systems in mental health: An integrative review,"O Higgins, BL Short, SK Chalup…",2023,International Journal of …,Wiley Online Library,52,26.0
929,Amelioration of Alzheimer's disease pathology by mitophagy inducers identified via machine learning and a cross-species workflow,"C Xie, XX Zhuang, Z Niu, R Ai, S Lautrup…",2022,Nature Biomedical …,nature.com,168,56.0
930,Machine Learning Approaches for Analysis in Smart Healthcare Informatics,"N Jiwani, K Gupta, P Whig",2023,Machine Learning and Artificial …,api.taylorfrancis.com,31,15.5
931,Intelligent intrusion detection system for Apache web server empowered with machine learning approaches,"MU Ullah, A Hassan, M Asif, MS Farooq…",2022,International Journal of …,ijcis.com,91,30.33
932,Framework for integrating equity into machine learning models: a case study,"JC Rojas, J Fahrenbach, S Makhni, SC Cook…",2022,Chest,Elsevier,29,9.67
933,The ethics and politics of data sets in the age of machine learning: Deleting traces and encountering remains,NB Thylstrup,2022,"Media, Culture & Society",journals.sagepub.com,45,15.0
934,Data mining and machine learning retention models in higher education,"T Cardona, EA Cudney, R Hoerl…",2023,Journal of College …,journals.sagepub.com,69,34.5
935,Predicting industrial building energy consumption with statistical and machine-learning models informed by physical system parameters,"S Kapp, JK Choi, T Hong",2023,Renewable and Sustainable Energy Reviews,Elsevier,59,29.5
936,Energy demand forecasting in seven sectors by an optimization model based on machine learning algorithms,"ME Javanmard, SF Ghaderi",2023,Sustainable Cities and Society,Elsevier,29,14.5
937,Sentiment analysis using Twitter data: a comparative application of lexicon-and machine-learning-based approach,"Y Qi, Z Shabrina",2023,Social Network Analysis and Mining,Springer,74,37.0
938,Big data and machine learning driven bioprocessing–recent trends and critical analysis,"CT Yang, E Kristiani, YK Leong, JS Chang",2023,Bioresource technology,Elsevier,34,17.0
939,Wearable sensors and machine learning in post-stroke rehabilitation assessment: A systematic review,"I Boukhennoufa, X Zhai, V Utti, J Jackson…",2022,… Signal Processing and …,Elsevier,104,34.67
940,Machine-learning and high-throughput studies for high-entropy materials,"EW Huang, WJ Lee, SS Singh, P Kumar, CY Lee…",2022,Materials Science and …,Elsevier,77,25.67
941,Heart disease prediction using machine learning techniques: a quantitative review,"L Riyaz, MA Butt, M Zaman, O Ayob",2022,International Conference on …,Springer,65,21.67
942,Deep dive into machine learning density functional theory for materials science and chemistry,"L Fiedler, K Shah, M Bussmann, A Cangi",2022,Physical Review Materials,APS,65,21.67
943,Lung Cancer Classification and Prediction Using Machine Learning and Image Processing,"S Nageswaran, G Arunkumar, AK Bisht…",2022,BioMed research …,Wiley Online Library,89,29.67
944,In-depth insights into Alzheimer's disease by using explainable machine learning approach,"B Bogdanovic, T Eftimov, M Simjanoska",2022,Scientific Reports,nature.com,38,12.67
945,"Hemodynamic modeling, medical imaging, and machine learning and their applications to cardiovascular interventions","M Kadem, L Garber, M Abdelkhalek…",2022,IEEE Reviews in …,ieeexplore.ieee.org,37,12.33
946,Explainable AI for machine fault diagnosis: understanding features' contribution in machine learning models for industrial condition monitoring,"E Brusa, L Cibrario, C Delprete, LG Di Maggio",2023,Applied Sciences,mdpi.com,42,21.0
947,GPR monitoring for road transport infrastructure: A systematic review and machine learning insights,"M Rasol, JC Pais, V Pérez-Gracia, M Solla…",2022,… and Building Materials,Elsevier,101,33.67
948,An IoT-based agriculture maintenance using pervasive computing with machine learning technique,"S Kailasam, SDM Achanta…",2022,International Journal of …,emerald.com,52,17.33
949,Problem-independent machine learning (PIML)-based topology optimization—A universal approach,"M Huang, Z Du, C Liu, Y Zheng, T Cui, Y Mei…",2022,Extreme Mechanics …,Elsevier,30,10.0
950,Use of machine learning and remote sensing techniques for shoreline monitoring: A review of recent literature,"CAD Tsiakos, C Chalkias",2023,Applied Sciences,mdpi.com,33,16.5
951,Chronic kidney disease prediction using machine learning techniques,"DA Debal, TM Sitote",2022,Journal of Big Data,Springer,100,33.33
952,Adversarial machine learning in wireless communications using RF data: A review,"D Adesina, CC Hsieh, YE Sagduyu…",2022,… Surveys & Tutorials,ieeexplore.ieee.org,114,38.0
953,A framework for machine learning of model error in dynamical systems,"M Levine, A Stuart",2022,Communications of the American Mathematical Society,ams.org,64,21.33
954,Propension to customer churn in a financial institution: A machine learning approach,"RA de Lima Lemos, TC Silva, BM Tabak",2022,Neural Computing and …,Springer,66,22.0
955,Addressing the challenges and barriers to the integration of machine learning into clinical practice: An innovative method to hybrid human–machine intelligence,"C Ed-Driouch, F Mars, PA Gourraud, C Dumas",2022,Sensors,mdpi.com,26,8.67
956,Machine learning methods for modelling the gasification and pyrolysis of biomass and waste,"S Ascher, I Watson, S You",2022,Renewable and Sustainable Energy Reviews,Elsevier,154,51.33
957,"Machine learning for design, phase transformation and mechanical properties of alloys",JF Durodola,2022,Progress in Materials Science,Elsevier,63,21.0
958,A machine learning-based approach for vital node identification in complex networks,"AA Rezaei, J Munoz, M Jalili, H Khayyam",2023,Expert Systems with …,Elsevier,33,16.5
959,Flood detection in urban areas using satellite imagery and machine learning,"AH Tanim, CB McRae, H Tavakol-Davani, E Goharian",2022,Water,mdpi.com,69,23.0
960,Data compression for quantum machine learning,"R Dilip, YJ Liu, A Smith, F Pollmann",2022,Physical Review Research,APS,43,14.33
961,Role of machine learning in precision oncology: applications in gastrointestinal cancers,"A Tabari, SM Chan, OMF Omar, SI Iqbal, MS Gee…",2022,Cancers,mdpi.com,27,9.0
962,Progress towards machine learning reaction rate constants,"E Komp, N Janulaitis, S Valleau",2022,Physical Chemistry Chemical …,pubs.rsc.org,39,13.0
963,Detecting and measuring depression on social media using a machine learning approach: systematic review,"D Liu, XL Feng, F Ahmed, M Shahid, J Guo",2022,JMIR Mental Health,mental.jmir.org,53,17.67
964,A machine learning-based analysis for predicting fragility curve parameters of buildings,"H Dabiri, A Faramarzi, A Dall'Asta, E Tondi…",2022,Journal of Building …,Elsevier,41,13.67
965,Machine learning and deep learning algorithms for skin cancer classification from dermoscopic images,"S Bechelli, J Delhommelle",2022,Bioengineering,mdpi.com,84,28.0
966,Modern machine learning for LHC physicists,"T Plehn, A Butter, B Dillon, C Krause",2022,arXiv preprint arXiv:2211.01421,arxiv.org,28,9.33
967,Optimizing machine learning algorithms for improving prediction of bridge deck deterioration: A case study of Ohio bridges,"A Rashidi Nasab, H Elzarka",2023,Buildings,mdpi.com,32,16.0
968,Seismic damage prediction of RC buildings using machine learning,"S Bhatta, J Dang",2023,Earthquake Engineering & Structural …,Wiley Online Library,28,14.0
969,Rapsai: Accelerating machine learning prototyping of multimedia applications through visual programming,"R Du, N Li, J Jin, M Carney, S Miles, M Kleiner…",2023,Proceedings of the …,dl.acm.org,27,13.5
970,Machine learning algorithms for defect detection in metal laser-based additive manufacturing: A review,"Y Fu, ARJ Downey, L Yuan, T Zhang, A Pratt…",2022,Journal of Manufacturing …,Elsevier,164,54.67
971,Optimizing durability assessment: Machine learning models for depth of wear of environmentally-friendly concrete,"M Khan, AU Khan, M Houda, C El Hachem…",2023,Results in …,Elsevier,25,12.5
972,Automatic design of machine learning via evolutionary computation: A survey,"N Li, L Ma, T Xing, G Yu, C Wang, Y Wen, S Cheng…",2023,Applied Soft …,Elsevier,24,12.0
973,Privacy-preserving machine learning with fully homomorphic encryption for deep neural network,"JW Lee, HC Kang, Y Lee, W Choi, J Eom…",2022,iEEE …,ieeexplore.ieee.org,266,88.67
974,Streamflow prediction utilizing deep learning and machine learning algorithms for sustainable water supply management,"SD Latif, AN Ahmed",2023,Water Resources Management,Springer,29,14.5
975,A systematic literature review of deep and machine learning algorithms in cardiovascular diseases diagnosis,"ZK Alkayyali, SAB Idris, SS Abu-Naser",2023,Journal of Theoretical and Applied …,jatit.org,45,22.5
976,A patient network-based machine learning model for disease prediction: The case of type 2 diabetes mellitus,"H Lu, S Uddin, F Hajati, MA Moni, M Khushi",2022,Applied Intelligence,Springer,103,34.33
977,Predictive analytics and machine learning for real-time supply chain risk mitigation and agility,A Aljohani,2023,Sustainability,mdpi.com,79,39.5
978,Evolving applications of artificial intelligence and machine learning in infectious diseases testing,"NK Tran, S Albahra, L May, S Waldman…",2022,Clinical …,academic.oup.com,59,19.67
979,A machine learning approach for predicting hidden links in supply chain with graph neural networks,"EE Kosasih, A Brintrup",2022,International Journal of Production …,Taylor & Francis,124,41.33
980,Development of a software and hardware complex for primary diagnostics based on deep machine learning,R Yaxshiboyev,2022,Central asian journal of education and computer …,cajecs.com,23,7.67
981,Healthcare predictive analytics using machine learning and deep learning techniques: a survey,"M Badawy, N Ramadan, HA Hefny",2023,Journal of Electrical Systems and …,Springer,49,24.5
982,Machine learning-based seismic response and performance assessment of reinforced concrete buildings,"F Kazemi, N Asgarkhani, R Jankowski",2023,Archives of Civil and Mechanical …,Springer,81,40.5
983,A survey of intrusion detection from the perspective of intrusion datasets and machine learning techniques,"G Singh, N Khare",2022,International Journal of Computers and …,Taylor & Francis,93,31.0
984,"Prospective validation of machine learning algorithms for absorption, distribution, metabolism, and excretion prediction: An industrial perspective","C Fang, Y Wang, R Grater, S Kapadnis…",2023,Journal of Chemical …,ACS Publications,32,16.0
985,Recent progress of machine learning in flow modeling and active flow control,"Y Li, J Chang, C Kong, W Bao",2022,Chinese Journal of Aeronautics,Elsevier,62,20.67
986,Slope stability prediction method based on intelligent optimization and machine learning algorithms,"Y Yang, W Zhou, IM Jiskani, X Lu, Z Wang, B Luan",2023,Sustainability,mdpi.com,24,12.0
987,"Prediction and optimization model of sustainable concrete properties using machine learning, deep learning and swarm intelligence: A review","S Wang, P Xia, K Chen, F Gong, H Wang…",2023,Journal of Building …,Elsevier,35,17.5
988,Machine learning-augmented wearable triboelectric human-machine interface in motion identification and virtual reality,"J Zhu, S Ji, J Yu, H Shao, H Wen, H Zhang, Z Xia…",2022,Nano Energy,Elsevier,52,17.33
989,Machine learning for large-scale optimization in 6g wireless networks,"Y Shi, L Lian, Y Shi, Z Wang, Y Zhou…",2023,… Surveys & Tutorials,ieeexplore.ieee.org,54,27.0
990,Analysis of bitcoin price prediction using machine learning,J Chen,2023,Journal of Risk and Financial Management,mdpi.com,83,41.5
991,A Detailed View on industrial Safety and Health Analytics using Machine Learning Hybrid Ensemble Techniques,"K Rathor, S Lenka, KA Pandya…",2022,… Conference on Edge …,ieeexplore.ieee.org,101,33.67
992,Building a conversational chatbot using machine learning: Towards a more intelligent healthcare application,"RK Solanki, AS Rajawat, AR Gadekar…",2023,Handbook of research …,igi-global.com,45,22.5
993,Técnicas y aplicaciones del Machine Learning e Inteligencia Artificial en educación: una revisión sistemática,W Forero Corba…,2024,… de educación a …,redined.educacion.gob.es,37,37.0
994,Pengenalan machine learning dengan python,D Kurniawan,2022,,books.google.com,45,15.0
995,Perbandingan Algoritma Machine Learning untuk Analisis Sentimen Berbasis Aspek pada Review Female Daily,MH Wicaksono…,2023,eProceedings …,… .telkomuniversity.ac.id,222,111.0
